Epoch, Ratio of 1s (if random), Location of ASM (if needed), K (if needed), Accuracy, Loss
189, , layer1.1.conv2, 5, 0.4714163839817047, 0.022635462913191767 
190, , layer1.1.conv2, 5, 0.4854948818683624, 0.022045320669131882 
191, , layer1.1.conv2, 5, 0.4936006963253021, 0.021701986615390297 
192, , layer1.1.conv2, 5, 0.4859215021133423, 0.022343930235266075 
193, , layer1.1.conv2, 5, 0.5068259239196777, 0.02184292964268565 
194, , layer1.1.conv2, 5, 0.519197940826416, 0.021077445097928773 
195, , layer1.1.conv2, 5, 0.5004266500473022, 0.022203733473889046 
196, , layer1.1.conv2, 5, 0.5170648694038391, 0.021472363821755294 
197, , layer1.1.conv2, 5, 0.5196245908737183, 0.02161201677021313 
198, , layer1.1.conv2, 5, 0.51450514793396, 0.02204664786419364 
199, , layer1.1.conv2, 5, 0.5238907933235168, 0.02177460874357728 
200, , layer1.1.conv2, 5, 0.5435153841972351, 0.020556196862825355 
201, , layer1.1.conv2, 5, 0.5375426411628723, 0.02138673148591567 
202, , layer1.1.conv2, 5, 0.5371160507202148, 0.02138452250001882 
203, , layer1.1.conv2, 5, 0.5366894006729126, 0.02140542895313823 
204, , layer1.1.conv2, 5, 0.5281569957733154, 0.02237287128929036 
205, , layer1.1.conv2, 5, 0.5371160507202148, 0.02123648853203339 
206, , layer1.1.conv2, 5, 0.5298634767532349, 0.022057922722282262 
207, , layer1.1.conv2, 5, 0.5328498482704163, 0.022087492191776276 
208, , layer1.1.conv2, 5, 0.532423198223114, 0.022021725362185832 
209, , layer1.1.conv2, 5, 0.5311433672904968, 0.021681994217234973 
210, , layer1.1.conv2, 5, 0.533703088760376, 0.021728947844496155 
211, , allConv, 5, 0.34001705050468445, 0.02754527472798735 
212, , allConv, 5, 0.4744027256965637, 0.023137316438321773 
213, , allConv, 5, 0.55887371301651, 0.01975829919653948 
214, , allConv, 5, 0.5699658989906311, 0.01859306765294319 
215, , allConv, 5, 0.5857508778572083, 0.017633123850964848 
216, , allConv, 5, 0.5930033922195435, 0.017168538600409802 
217, , allConv, 5, 0.6168941855430603, 0.016307022206408985 
218, , allConv, 5, 0.6215870380401611, 0.01606321016981333 
219, , allConv, 5, 0.6335324048995972, 0.015672788182877435 
220, , allConv, 5, 0.6386518478393555, 0.015503964606202096 
221, , allConv, 5, 0.6484641432762146, 0.01520520556756254 
222, , allConv, 5, 0.6429181098937988, 0.015390780916494722 
223, , allConv, 5, 0.6493173837661743, 0.01517358499200881 
224, , allConv, 5, 0.6612628102302551, 0.014591684816055535 
225, , allConv, 5, 0.6505972743034363, 0.015122052291630682 
226, , allConv, 5, 0.6582764387130737, 0.014859875505186184 
227, , allConv, 5, 0.6569966077804565, 0.014871746965973247 
228, , allConv, 5, 0.6548634767532349, 0.015047783690024765 
229, , allConv, 5, 0.6616894006729126, 0.01476153227541939 
230, , allConv, 5, 0.6749146580696106, 0.013986932374409847 
231, , allConv, 5, 0.6655290126800537, 0.014610812910308 
232, , allConv, 5, 0.6693686246871948, 0.014466201616355787 
233, , allConv, 5, 0.6689419746398926, 0.014508074896454608 
234, , allConv, 5, 0.6621160507202148, 0.015176845717628458 
235, , allConv, 5, 0.677901029586792, 0.014148846535654198 
236, , allConv, 5, 0.6697952151298523, 0.014637054325599516 
237, , allConv, 5, 0.6557167172431946, 0.014957251914048968 
238, , allConv, 5, 0.6693686246871948, 0.014656488332299853 
239, , allConv, 5, 0.671928346157074, 0.014474595629899372 
240, , allConv, 5, 0.6663822531700134, 0.014600241912764086 
241, , avgpool, 5, 0.335324227809906, 0.027466704312444953 
242, , avgpool, 5, 0.4859215021133423, 0.022882286065064192 
243, , avgpool, 5, 0.5755119323730469, 0.019375498002909962 
244, , avgpool, 5, 0.5831910967826843, 0.018124869659085323 
245, , avgpool, 5, 0.5976962447166443, 0.01712493812061414 
246, , avgpool, 5, 0.6070818901062012, 0.016639245807514257 
247, , avgpool, 5, 0.6313993334770203, 0.01579553989928737 
248, , avgpool, 5, 0.6412116289138794, 0.015463644886586447 
249, , avgpool, 5, 0.6467576622962952, 0.015080389639826764 
250, , avgpool, 5, 0.6527303457260132, 0.01496210616120096 
251, , avgpool, 5, 0.6616894006729126, 0.014644488615997823 
252, , avgpool, 5, 0.6599829196929932, 0.014804176217002267 
253, , avgpool, 5, 0.6642491221427917, 0.014541681824131224 
254, , avgpool, 5, 0.6749146580696106, 0.01403490244808254 
255, , avgpool, 5, 0.6612628102302551, 0.014566698152915203 
256, , avgpool, 5, 0.6638225317001343, 0.014411292560144293 
257, , avgpool, 5, 0.6676621437072754, 0.014308042754339684 
258, , avgpool, 5, 0.664675772190094, 0.014474699512098633 
259, , avgpool, 5, 0.670648455619812, 0.014253347965891857 
260, , avgpool, 5, 0.685153603553772, 0.013574791789283728 
261, , avgpool, 5, 0.67662113904953, 0.01409729839057849 
262, , avgpool, 5, 0.6834471225738525, 0.013880880749800303 
263, , avgpool, 5, 0.6791808605194092, 0.013957651436913746 
264, , avgpool, 5, 0.6723549365997314, 0.014600332365482537 
265, , avgpool, 5, 0.6902730464935303, 0.013605537792546961 
266, , avgpool, 5, 0.6813139915466309, 0.014087704038914966 
267, , avgpool, 5, 0.6732081770896912, 0.01430467701812653 
268, , avgpool, 5, 0.6808874011039734, 0.014020473515112652 
269, , avgpool, 5, 0.6825938820838928, 0.013888410584994754 
270, , avgpool, 5, 0.6817406415939331, 0.013974043896657004 
271, , conv1, 10, 0.29735493659973145, 0.029404237917258876 
272, , conv1, 10, 0.411689430475235, 0.025914881823412794 
273, , conv1, 10, 0.44240614771842957, 0.023575157028823176 
274, , conv1, 10, 0.454351544380188, 0.022974515683414992 
275, , conv1, 10, 0.46587032079696655, 0.022256387760004492 
276, , conv1, 10, 0.47397610545158386, 0.02199633761528409 
277, , conv1, 10, 0.49146756529808044, 0.02119089635057254 
278, , conv1, 10, 0.5042662024497986, 0.020894023720111458 
279, , conv1, 10, 0.5029863715171814, 0.020929985517578728 
280, , conv1, 10, 0.5162116289138794, 0.02055889612171837 
281, , conv1, 10, 0.5281569957733154, 0.020164948026729117 
282, , conv1, 10, 0.511945366859436, 0.020731977056775482 
283, , conv1, 10, 0.5315699577331543, 0.02026756181867965 
284, , conv1, 10, 0.5494880676269531, 0.019639180226206983 
285, , conv1, 10, 0.525170624256134, 0.020811739631963467 
286, , conv1, 10, 0.5362628102302551, 0.02015652386757701 
287, , conv1, 10, 0.5422354936599731, 0.020200152830586297 
288, , conv1, 10, 0.5358361601829529, 0.020777669741610008 
289, , conv1, 10, 0.5388225317001343, 0.020527042658306634 
290, , conv1, 10, 0.5618600845336914, 0.019273944014727866 
291, , conv1, 10, 0.5550341010093689, 0.01995014407236523 
292, , conv1, 10, 0.5537542700767517, 0.020150083129901325 
293, , conv1, 10, 0.5563139915466309, 0.01986891841484113 
294, , conv1, 10, 0.5439419746398926, 0.0208832475518865 
295, , conv1, 10, 0.560153603553772, 0.019896660181264625 
296, , conv1, 10, 0.5511945486068726, 0.020524240861751725 
297, , conv1, 10, 0.5490614175796509, 0.020499509117175085 
298, , conv1, 10, 0.5494880676269531, 0.020538467440258317 
299, , conv1, 10, 0.5571672320365906, 0.020238098929995358 
300, , conv1, 10, 0.552901029586792, 0.020299133933673743 
301, , maxpool, 10, 0.30418089032173157, 0.029357182999926623 
302, , maxpool, 10, 0.39889079332351685, 0.026194309516978345 
303, , maxpool, 10, 0.4244880676269531, 0.024027651156785138 
304, , maxpool, 10, 0.43430033326148987, 0.023659374653886203 
305, , maxpool, 10, 0.44368600845336914, 0.0229314310101112 
306, , maxpool, 10, 0.45691126585006714, 0.022804583489589723 
307, , maxpool, 10, 0.47098976373672485, 0.022005584383377037 
308, , maxpool, 10, 0.483788400888443, 0.021699636704177173 
309, , maxpool, 10, 0.48848122358322144, 0.021730016529204088 
310, , maxpool, 10, 0.5021331310272217, 0.021281245352109138 
311, , maxpool, 10, 0.5106655359268188, 0.02097293596282449 
312, , maxpool, 10, 0.4961604177951813, 0.02165172828533035 
313, , maxpool, 10, 0.5153583884239197, 0.021064580113026265 
314, , maxpool, 10, 0.533703088760376, 0.020388390881616508 
315, , maxpool, 10, 0.5153583884239197, 0.02151405435602209 
316, , maxpool, 10, 0.5302901268005371, 0.020768934323646307 
